Type,Stage,Name,Efficiency,OI_assrt,IO_assrt,OO_assrt,II_assrt,Modul,cluster,Flow,RevFlow,Cyclicity
1actual,46, 140718a,0.002439,0.110472,0.089611,0.079452,0.05708,0.519531,0.000684,0.191404,0.052463,0.000028
1actual,46, 140716b,0.002651,0.126676,0.106292,0.04178,0.05246,0.478585,0.000701,0.150479,0.073713,0.00007
1actual,46, 140716a,0.002772,0.105331,0.165554,-0.155636,-0.066859,0.537585,0.000953,0.139932,0.060717,0.000048
1actual,46,140715,0.010616,-0.072622,0.005088,-0.153423,-0.024722,0.406524,0.009825,0.059372,0.141422,0.000541
1actual,46,140711,0.003233,0.085009,-0.107544,-0.293038,-0.071683,0.435976,0.002586,0.084865,0.079567,0.000044
1actual,46, 140708b,0.004551,-0.012688,0.192102,-0.068558,-0.013038,0.514689,0.003379,0.091442,0.095324,0.000111
1actual,46, 140708a,0.002335,0.007566,0.003646,-0.091885,-0.003802,0.588784,0.001364,0.100756,0.08985,0.000042
1actual,46, 140705a,0.002375,0.070374,0.102197,-0.111592,0.181052,0.506473,0.00151,0.051727,0.169606,0.000045
1actual,46, 140704b,0.002399,0.270561,-0.004415,0.06671,0.148824,0.491054,0.00048,0.072546,0.150283,0.000109
1actual,46, 140704a,0.004983,-0.068016,-0.029175,-0.017646,-0.165209,0.423073,0.002368,0.044157,0.20064,0.000266
1actual,46,140627,0.002267,0.096261,0.046874,-0.061968,0.167044,0.516123,0.000804,0.154007,0.06629,0.000044
1actual,46,140626,0.003256,0.253452,0.236101,0.124801,0.342675,0.422976,0.002387,0.12181,0.193455,0.000221
1actual,46,140610,0.001818,0.098736,0.245209,0.157712,0.174167,0.510839,0.001902,0.052333,0.22474,0.000138
1actual,46,140516,0.003311,-0.009706,0.160755,-0.008058,0.264818,0.508081,0.005031,0.051208,0.236957,0.000199
1actual,49,140726,0.001668,0.081859,-0.011608,-0.10811,-0.0947,0.581473,0.000549,0.074884,0.089361,0.000021
1actual,49,140724,0.002648,0.068339,0.168569,0.034057,0.105416,0.489212,0.001814,0.045159,0.25294,0.000029
1actual,49,140723,0.002925,0.144707,0.047853,-0.016084,0.133814,0.442016,0.001693,0.049603,0.234387,0.00003
1actual,49,140722,0.001596,-0.018681,0.067127,-0.004767,-0.002765,0.612678,0.00152,0.175309,0.051574,0.000017
1actual,49, 140718b,0.003647,-0.034701,0.039516,-0.103854,-0.215626,0.483928,0.004182,0.100059,0.076771,0.00008
1actual,49,140714,0.004828,0.070916,0.082496,0.031222,0.000165,0.444531,0.003957,0.098424,0.102935,0.000106
1actual,49,140710,0.002043,0.137231,-0.001591,0.069549,-0.117142,0.567989,0.000918,0.121142,0.07111,0.000027
1actual,49,140709,0.005642,-0.133119,0.078418,-0.198838,-0.12938,0.357913,0.003614,0.085749,0.092905,0.000146
1actual,49,140707,0.00088,-0.00907,0.006666,-0.157631,-0.108913,0.644662,0.000443,0.115953,0.05991,0.000008
1actual,49, 140705b,0.000915,-0.172967,0.045404,-0.296074,-0.257422,0.62712,0.000108,0.025393,0.242195,0.000007
1actual,49,140612,0.001173,0.10356,0.066439,-0.302661,0.045986,0.617067,0.00015,0.062387,0.140872,0
1actual,49,140521,0.000384,-0.033629,-0.089169,-0.186355,-0.175936,0.721299,0.000292,0.069796,0.107794,0.000009
1actual,49,140328,0.000439,0.104368,-0.035314,-0.061226,-0.129488,0.677255,0.00005,0.085773,0.126421,0.000002
1actual,49,140314,0.002822,0.029618,0.022155,-0.061199,-0.023312,0.577533,0.004446,0.071537,0.119611,0.000082
1actual,49,140311,0.000713,-0.083787,-0.144272,-0.119129,-0.216377,0.66848,0.000199,0.05268,0.137187,0.000035
1actual,49,140310,0.000484,0.090352,0.000864,-0.259008,-0.114065,0.726301,0.00026,0.102787,0.064887,0.000011
2rewire,46, 140718a,0.002557,0.023608,-0.005901,-0.176143,-0.141581,0.524513,0.000415,0.068121,0.117584,0.000007
2rewire,46, 140716b,0.003516,0.007831,-0.005885,-0.174995,-0.146511,0.505249,0.000732,0.065785,0.12407,0.000019
2rewire,46, 140716a,0.003149,-0.061081,-0.007709,-0.172877,-0.137918,0.515645,0.000644,0.061188,0.132488,0.000012
2rewire,46,140715,0.014506,-0.22694,-0.018822,-0.248254,-0.121039,0.339964,0.005647,0.04947,0.160357,0.000294
2rewire,46,140711,0.006076,-0.125273,-0.011251,-0.23849,-0.153049,0.432614,0.002177,0.043216,0.179746,0.000093
2rewire,46, 140708b,0.004748,-0.167002,-0.015434,-0.244408,-0.160764,0.461166,0.001942,0.030518,0.243346,0.00004
2rewire,46, 140708a,0.0022,0.023366,-0.009806,-0.15845,-0.145182,0.55132,0.000492,0.052159,0.1548,0.000006
2rewire,46, 140705a,0.003047,-0.068954,-0.016951,-0.204957,-0.150546,0.486254,0.000849,0.039775,0.196055,0.000025
2rewire,46, 140704b,0.002227,-0.022379,-0.018332,-0.219755,-0.16225,0.504902,0.000649,0.057837,0.134163,0.00003
2rewire,46, 140704a,0.006142,-0.102139,-0.015184,-0.181793,-0.130574,0.407522,0.002279,0.026223,0.28111,0.000068
2rewire,46,140627,0.002996,-0.029409,0.018564,-0.169077,-0.16532,0.519613,0.000726,0.06006,0.13678,0.000018
2rewire,46,140626,0.003463,-0.091492,-0.004466,-0.230682,-0.145422,0.455275,0.001188,0.045857,0.185933,0.000028
2rewire,46,140610,0.001464,-0.115808,-0.017378,-0.24235,-0.182596,0.522989,0.000686,0.028121,0.273117,0.000012
2rewire,46,140516,0.00345,-0.085063,-0.007783,-0.197573,-0.133891,0.45449,0.001257,0.024502,0.31264,0.000023
2rewire,49,140726,0.002214,0.042184,-0.001577,-0.1437,-0.143833,0.552101,0.000406,0.072233,0.113682,0.000012
2rewire,49,140724,0.002267,-0.114049,-0.007954,-0.185343,-0.148263,0.510196,0.00086,0.019757,0.400885,0.000005
2rewire,49,140723,0.003017,-0.139022,-0.008269,-0.221731,-0.134557,0.474526,0.001282,0.022178,0.361766,0.000012
2rewire,49,140722,0.001483,-0.013008,-0.032165,-0.180463,-0.154259,0.579425,0.000394,0.069962,0.121473,0.000009
2rewire,49, 140718b,0.005807,-0.126183,-0.020971,-0.219441,-0.171756,0.467729,0.001967,0.03044,0.254478,0.000034
2rewire,49,140714,0.003922,-0.150511,-0.005611,-0.229218,-0.147491,0.489209,0.001601,0.030958,0.253464,0.000018
2rewire,49,140710,0.002404,0.032218,-0.01327,-0.169596,-0.14455,0.559522,0.000514,0.06664,0.121286,0.000011
2rewire,49,140709,0.009268,-0.144145,-0.005494,-0.207133,-0.132442,0.416642,0.002888,0.025468,0.29874,0.00005
2rewire,49,140707,0.001509,0.034042,-0.006007,-0.165851,-0.142535,0.608664,0.00029,0.082547,0.104346,0.000003
2rewire,49, 140705b,0.001428,-0.133344,-0.012588,-0.258242,-0.160919,0.57345,0.000575,0.039142,0.201563,0.000006
2rewire,49,140612,0.001192,0.007111,-0.002176,-0.210977,-0.185771,0.585444,0.00033,0.053588,0.151238,0.000005
2rewire,49,140521,0.000697,0.058132,0.006402,-0.121464,-0.150556,0.667443,0.000126,0.063217,0.128932,0.000003
2rewire,49,140328,0.000544,0.055467,-0.00121,-0.145456,-0.164416,0.663134,0.000091,0.078517,0.109826,0.000001
2rewire,49,140314,0.004427,-0.122465,-0.005249,-0.175166,-0.119978,0.456976,0.001158,0.02359,0.328172,0.000012
2rewire,49,140311,0.001035,-0.05587,-0.001509,-0.20857,-0.196446,0.601466,0.000297,0.053092,0.151352,0.00001
2rewire,49,140310,0.000606,0.04834,0.000723,-0.164266,-0.192148,0.650009,0.000157,0.08793,0.098188,0.000005
3random,46, 140718a,0.00284,0.01594,0.002152,-0.11987,-0.114597,0.54446,0.000849,0.094773,0.091707,0.001141
3random,46, 140716b,0.003791,0.007031,0.01723,-0.124591,-0.125353,0.522805,0.001442,0.095563,0.093965,0.001477
3random,46, 140716a,0.003571,0.003294,-0.002489,-0.125499,-0.123239,0.536167,0.001282,0.098964,0.093139,0.001409
3random,46,140715,0.018698,-0.033689,-0.005879,-0.088059,-0.07912,0.378247,0.007141,0.090444,0.096845,0.006333
3random,46,140711,0.007455,-0.014945,0.001122,-0.116524,-0.094536,0.469641,0.003147,0.09602,0.090372,0.003333
3random,46, 140708b,0.006354,-0.007814,0.004294,-0.127125,-0.132021,0.500834,0.00275,0.089864,0.099035,0.002554
3random,46, 140708a,0.002439,0.019878,0.011529,-0.144161,-0.132248,0.569769,0.000982,0.093287,0.095568,0.000923
3random,46, 140705a,0.003538,-0.001964,0.004754,-0.127979,-0.135933,0.520165,0.001449,0.093954,0.096761,0.001987
3random,46, 140704b,0.002529,0.017572,-0.001431,-0.129926,-0.141888,0.536897,0.001285,0.093652,0.100106,0.002166
3random,46, 140704a,0.007314,-0.006415,0.013331,-0.10452,-0.099651,0.44732,0.003161,0.09822,0.093406,0.00342
3random,46,140627,0.002907,0.013737,-0.002598,-0.113639,-0.121929,0.537033,0.001376,0.096183,0.096201,0.001311
3random,46,140626,0.004215,0.027694,0.005642,-0.12767,-0.114294,0.503404,0.002215,0.097566,0.094526,0.00232
3random,46,140610,0.001673,0.041297,-0.019977,-0.137148,-0.148806,0.582099,0.000972,0.097461,0.091603,0.001219
3random,46,140516,0.004351,0.007753,-0.000621,-0.107957,-0.100056,0.499382,0.001838,0.101029,0.09439,0.001944
3random,49,140726,0.002176,0.021952,0.001673,-0.141975,-0.127747,0.566813,0.00094,0.099023,0.08983,0.001317
3random,49,140724,0.003187,0.044567,-0.011774,-0.124657,-0.113691,0.565288,0.001044,0.091848,0.094282,0.000809
3random,49,140723,0.004527,0.015,0.007216,-0.118769,-0.12356,0.536451,0.001516,0.098587,0.090217,0.00125
3random,49,140722,0.001564,0.016185,-0.002437,-0.159132,-0.149925,0.597626,0.000913,0.095624,0.09479,0.001111
3random,49, 140718b,0.007207,-0.024261,0.001584,-0.129977,-0.132672,0.51079,0.003241,0.091094,0.095776,0.002535
3random,49,140714,0.005404,-0.032066,-0.002222,-0.148386,-0.133337,0.534411,0.002115,0.09473,0.093095,0.001568
3random,49,140710,0.002455,0.023179,-0.016581,-0.139895,-0.132103,0.581884,0.001107,0.094462,0.095017,0.001033
3random,49,140709,0.01181,-0.021254,0.001204,-0.099253,-0.103747,0.448249,0.003471,0.09685,0.092691,0.002687
3random,49,140707,0.001583,0.034325,0.011076,-0.138278,-0.127282,0.615831,0.000611,0.093185,0.095393,0.000631
3random,49, 140705b,0.001751,0.030448,0.003953,-0.166031,-0.1562,0.621767,0.000874,0.097669,0.093637,0.000936
3random,49,140612,0.001231,0.039471,0.011876,-0.162287,-0.147519,0.616365,0.000724,0.098732,0.091276,0.000853
3random,49,140521,0.000626,0.03106,-0.007546,-0.163846,-0.164379,0.661656,0.000322,0.094169,0.092753,0.000462
3random,49,140328,0.00056,0.037728,0.002296,-0.165654,-0.154291,0.671489,0.000248,0.091267,0.096332,0.000377
3random,49,140314,0.005947,-0.00348,0.004932,-0.108533,-0.113383,0.489038,0.001472,0.092717,0.092872,0.001375
3random,49,140311,0.001093,0.016685,0.017952,-0.170871,-0.161373,0.62439,0.000738,0.100595,0.095708,0.001295
3random,49,140310,0.000602,0.036356,-0.006865,-0.176667,-0.159601,0.653859,0.000408,0.096554,0.096347,0.000872
